episode;date;rating;title;summary
S08E01;1996-10-27;8.4;Treehouse of Horror VII;Bart's Siamese twin swells in the attic; Lisa's science experiment creates a miniature universe of advanced civilization; aliens possess Clinton and Dole.
S08E02;1996-11-03;9.2;You Only Move Twice;After moving to another town for a new job, Homer must decide whether or not to stay when the family have a hard time with the transfer.
S08E03;1996-11-10;8.1;The Homer They Fall;Homer becomes a boxer after Moe discovers his amazing ability to take a punch.
S08E04;1996-11-17;7.6;Burns, Baby Burns;The Simpsons try to reunite Mr. Burns with Larry, his slovenly long-lost son.
S08E05;1996-11-24;8.3;Bart After Dark;Marge leads a crusade against a local burlesque house after she discovers Bart working there.
S08E06;1996-12-01;8.1;A Milhouse Divided;Homer questions the state of his marriage after Luann Van Houten demands a divorce from Kirk.
S08E07;1996-12-15;7.8;Lisa's Date with Density;Lisa develops a crush on Nelson, and tries to reform him; Homer gets an autodialer and decides to make easy money with a telemarketing scam.
S08E08;1996-12-29;8.7;Hurricane Neddy;After a hurricane destroys Ned Flanders' house, he suffers a nervous breakdown and is forced to confront repressed problems from his childhood.
S08E09;1997-01-05;8.6;El Viaje Misterioso de Nuestro Jomer;After eating insanity peppers at a chili cook-off, Homer has a hallucination of a talking coyote urging him to find his soulmate.
S08E10;1997-01-12;9.0;The Springfield Files;Special Agents Mulder and Scully arrive in Springfield after Homer claims to have seen an alien.
S08E11;1997-01-19;7.7;The Twisted World of Marge Simpson;Marge enters the pretzel vending business, but when she fails, Homer recruits some help from the mob.
S08E12;1997-02-02;8.5;Mountain of Madness;Homer and Mr. Burns get trapped in a snowed-in cabin during a company retreat.
S08E13;1997-02-07;7.6;Simpsoncalifragilisticexpiala(Annoyed Grunt)cious;Marge is stressed from motherhood and hires a British nanny to help out around the house, who struggles to teach Bart and Lisa how to behave.
S08E14;1997-02-07;7.9;The Itchy & Scratchy & Poochie Show;Homer is cast as Poochie, a new "Itchy and Scratchy" character designed to reverse declining ratings; a hip college student moves in with the Simpsons.
S08E15;1997-02-16;8.8;Homer's Phobia;After Marge befriends John, a gay store owner, Homer worries that his presence will have a negative effect on Bart's sexuality.
S08E16;1997-02-23;8.2;Brother from Another Series;Bart suspects a paroled Sideshow Bob is up to his old tricks when he is hired by his brother Cecil to assist in the construction of a dam.
S08E17;1997-03-02;7.9;My Sister, My Sitter;Bart is outraged when Lisa becomes his babysitter.
S08E18;1997-03-16;8.8;Homer vs. the 18th Amendment;After alcohol is banned in Springfield, Homer adopts the moniker of the "Beer Baron" to bootleg liquor, prompting an investigation from an uptight Treasury agent.
S08E19;1997-04-06;8.2;Grade School Confidential;Bart discovers Principal Skinner and Mrs Krabappel kissing, and it's not long before the whole town knows of their secret affair.
S08E20;1997-04-13;7.6;The Canine Mutiny;When the items Bart purchased with a fake credit card are repossessed, he claims that Santa's Little Helper is the dog he bought instead of his new pet, Laddie.
S08E21;1997-04-20;7.9;The Old Man and the Lisa;Burns loses his fortune and recruits Lisa to help him get it back.
S08E22;1997-04-27;8.1;In Marge We Trust;Marge becomes a church counselor; Homer discovers his face on a Japanese detergent logo.
S08E23;1997-05-04;9.3;Homer's Enemy;Homer's laziness begets the ire of his industrious but arrogant new co-worker Frank Grimes; Bart buys a run-down factory for a dollar.
S08E24;1997-05-11;7.1;The Simpsons Spin-Off Showcase;Troy McClure presents three spinoffs: "Chief Wiggins, P.I.," "The Love-Matic Grandpa," and "The Simpson Family Smile-Time Variety Hour."
S08E25;1997-05-18;7.8;The Secret War of Lisa Simpson;Bart is sent to a military school to be disciplined; Lisa, seeking a challenge, enrolls with him, but faces discrimination as the school's only girl cadet.
S09E01;1997-09-21;9.0;The City of New York vs. Homer Simpson;Homer must travel to New York to get his car back, which is illegally parked at World Trade Center Plaza.
S09E02;1997-09-28;6.9;The Principal and the Pauper;At his 20th anniversary celebration as school principal, Principal Skinner is discovered to be an imposter of the real Seymour Skinner.
S09E03;1997-10-19;8.1;Lisa's Sax;Homer recounts the story of Bart's first day of school, which corresponds with the story of how Lisa got her saxophone.
S09E04;1997-10-26;8.2;Treehouse of Horror VIII;Homer battles mutants after Springfield is annihilated by a neutron bomb; Bart has his DNA mixed with a fly; Marge is revealed to be a witch in colonial Springfield.
S09E05;1997-11-02;8.2;The Cartridge Family;After a massive soccer riot, Homer purchases a gun to protect the family.
S09E06;1997-11-09;7.7;Bart Star;A damning report on childhood obesity in Springfield leads to the formation of a pee-wee football team. After belittling Ned Flanders, Homer ends up coaching the team, but his favoring of Bart makes him unpopular.
S09E07;1997-11-16;7.7;The Two Mrs. Nahasapeemapetilons;Apu receives a letter from his mother stating that it's time for him fulfilled his arranged marriage obligation, he pretends Marge is his wife.
S09E08;1997-11-23;8.1;Lisa the Skeptic;Townspeople believe Lisa has unearthed the fossiled remains of a angel.
S09E09;1997-12-07;7.6;Realty Bites;Marge becomes a real-estate agent.
S09E10;1997-12-21;7.6;Miracle on Evergreen Terrace;When Bart accidentally burns down the family's Christmas tree and gifts, he claims that a robber stole everything. As a result, the town gets them a new tree and pitches in to raise funds.
S09E11;1998-01-04;5.0;All Singing, All Dancing;Homer is disappointed when the western he rented turns out to be a musical, so the family reminds him of the musical moments in the show's history.
S09E12;1998-01-11;7.6;Bart Carny;Bart and Homer befriend two carnies and invite them to stay with them, but the carnies soon swindle the Simpsons out of their house.
